timestamp	left_x	left_y	right_x	right_y	target_id	tar_x	tar_y
4069268.812	451.732666	253.0558167	459.5184326	244.1021423	-1	-1	-1
4069269.644	451.0261231	253.2187805	459.1235352	245.4248657	-1	-1	-1
4069270.478	451.795166	252.3170776	459.755127	245.6139832	-1	-1	-1
4069271.312	453.0803223	253.465332	460.8739014	244.026825	-1	-1	-1
4069272.143	451.2380371	252.7909546	460.0527344	244.7355957	-1	-1	-1
4069272.978	451.7387695	252.313324	458.1864014	247.9639282	-1	-1	-1
4069273.812	450.8746338	251.6613159	460.1212158	246.4313049	-1	-1	-1
4069274.643	452.489502	251.7073059	459.8125	246.5325928	-1	-1	-1
4069275.478	452.5111084	252.6064148	459.0401611	245.7486267	-1	-1	-1
4069276.312	452.5195313	253.7481384	458.472168	246.4953003	-1	-1	-1
4069277.146	451.7128906	255.0800476	459.2076416	246.9064636	-1	-1	-1
4069277.978	451.3823242	253.1392517	460.2210693	244.7633362	-1	-1	-1
4069278.812	450.8857422	253.6853638	458.6323242	245.9697876	-1	-1	-1
4069279.645	451.1826172	255.1054382	459.8134766	244.9271545	-1	-1	-1
4069280.476	450.4897461	251.0378113	460.7105713	242.7737427	-1	-1	-1
4069281.311	449.4208984	253.8065186	460.9223633	245.8340759	-1	-1	-1
4069282.145	451.1364746	253.6687317	460.5672607	245.2748108	-1	-1	-1
4069282.976	450.8214111	253.0175476	458.0601807	242.5229492	-1	-1	-1
4069283.811	448.581665	253.7693787	459.7974854	245.066864	-1	-1	-1
4069284.645	450.354126	252.8973999	459.8911133	243.5557556	-1	-1	-1
4069285.476	447.5588379	253.0378418	456.9641113	240.5733032	-1	-1	-1
4069286.311	449.4980469	252.8945313	460.2696533	248.2997131	-1	-1	-1
4069287.145	449.7209473	254.5454407	458.2822266	240.1309204	-1	-1	-1
4069287.976	446.4869385	253.5719299	459.3120117	243.8710022	-1	-1	-1
4069288.81	449.0389404	252.951294	459.3580322	243.7216187	-1	-1	-1
4069289.645	448.6776123	253.8854675	458.8249512	244.5155945	-1	-1	-1
4069290.476	447.9416504	253.4390869	459.2316895	245.0706177	-1	-1	-1
4069291.31	447.8757324	253.8582764	461.2907715	241.9191895	-1	-1	-1
4069292.145	447.4703369	257.7503357	458.255127	242.5140686	-1	-1	-1
4069292.976	449.3109131	256.0057373	460.8083496	245.7208862	-1	-1	-1
4069293.81	446.9648438	257.6817627	459.086792	243.6691589	-1	-1	-1
4069294.645	447.7817383	258.736145	460.366333	244.9697571	-1	-1	-1
4069295.476	448.699707	254.5326233	460.3537598	245.1266174	-1	-1	-1
4069296.31	450.003418	260.4479675	456.8760986	241.9100952	-1	-1	-1
4069297.145	448.0858154	260.4880676	458.3027344	244.9428711	-1	-1	-1
4069297.976	450.7871094	256.9276123	457.9980469	242.9439697	-1	-1	-1
4069298.81	449.2515869	258.4875183	456.5316162	242.4685669	-1	-1	-1
4069299.644	450.8917236	259.1301575	456.7575684	241.1949768	-1	-1	-1
4069300.476	448.8945313	256.6589356	457.3537598	241.3030701	-1	-1	-1
4069301.31	451.8308106	259.1276856	457.6414795	245.4985046	-1	-1	-1
4069302.144	451.1782227	257.3579102	457.9604492	242.6858521	-1	-1	-1
4069302.976	452.3483887	258.8728027	458.3111572	241.1618042	-1	-1	-1
4069303.81	451.095459	260.0611877	456.6362305	245.3831177	-1	-1	-1
4069304.644	451.4150391	261.4889832	457.5056152	244.2102051	-1	-1	-1
4069305.479	453.6051025	258.8580017	458.5898438	246.1774597	-1	-1	-1
4069306.311	452.1885986	256.0603638	456.3947754	245.1629639	-1	-1	-1
4069307.145	450.3964844	254.7011108	456.5339356	247.2898865	-1	-1	-1
4069307.979	451.161377	260.8041687	458.1860352	247.3676148	-1	-1	-1
4069308.811	451.0408936	256.3072815	456.560669	245.7393494	-1	-1	-1
4069309.645	451.4761963	257.7575073	456.5356445	246.1653748	-1	-1	-1
4069310.479	450.7493897	257.1580811	456.7172852	247.3289185	-1	-1	-1
4069311.311	453.1630859	257.4447022	458.2823486	246.0863953	-1	-1	-1
4069312.145	452.2613525	257.1567383	459.1121826	247.806488	-1	-1	-1
4069312.979	452.4643555	256.4781189	459.4780273	249.4549561	-1	-1	-1
4069313.811	451.2116699	258.7056274	457.4221191	245.1549988	-1	-1	-1
4069314.645	451.2265625	257.4957275	459.177124	247.9841614	-1	-1	-1
4069315.479	451.5336914	257.5723877	459.1082764	250.1470947	-1	-1	-1
4069316.311	452.5247803	260.4825745	457.3691406	246.5369873	-1	-1	-1
4069317.145	452.7163086	261.1069031	457.3457031	246.8192749	-1	-1	-1
4069317.979	453.296875	254.7246704	457.5886231	247.3711548	-1	-1	-1
4069318.81	452.0327148	257.0432434	458.8503418	247.5090942	-1	-1	-1
4069319.645	452.7635498	261.9136047	460.5690918	247.5652466	-1	-1	-1
4069320.479	455.7758789	259.8829956	460.3518066	248.8790894	-1	-1	-1
4069321.31	452.9942627	255.6972046	457.2957764	246.7202454	-1	-1	-1
4069322.145	452.8835449	257.2821655	457.7115479	247.9225159	-1	-1	-1
4069322.979	452.0737305	258.6351318	459.4862061	249.2144165	-1	-1	-1
4069323.81	453.4996338	255.798523	458.050293	246.7263794	-1	-1	-1
4069324.645	453.0576172	256.2191773	456.6906738	244.7028809	-1	-1	-1
4069325.479	452.3400879	256.8309631	457.2462158	246.3109741	-1	-1	-1
4069326.31	453.3425293	256.6034546	457.3796387	247.4019775	-1	-1	-1
4069327.144	456.3397217	259.2645569	456.6706543	245.157074	-1	-1	-1
4069327.979	456.2193604	259.7063599	455.9943848	245.7016602	-1	-1	-1
4069328.81	455.8865967	261.3060913	459.5250244	246.9787598	-1	-1	-1
4069329.644	454.7178955	260.4849243	459.1968994	247.2160645	-1	-1	-1
4069330.479	455.1309815	258.0281677	459.6560059	247.6686401	-1	-1	-1
4069331.31	454.2177734	258.2410584	456.2144775	245.0249939	-1	-1	-1
4069332.144	454.9631348	258.6222534	456.6595459	246.5852661	-1	-1	-1
4069332.979	453.7891846	259.400177	456.0299072	246.1911316	-1	-1	-1
4069333.813	454.875	259.6599121	457.0891113	246.7046814	-1	-1	-1
4069334.644	454.5389404	257.869812	456.4759522	247.1354675	-1	-1	-1
4069335.479	449.7994385	255.9685364	457.6281738	246.0134888	-1	-1	-1
4069336.313	452.7371826	256.8768921	456.8112793	245.0578003	-1	-1	-1
4069337.144	451.5841065	254.2945862	457.0776367	246.474762	-1	-1	-1
4069337.978	452.7052002	256.8222351	455.0406494	244.5576782	-1	-1	-1
4069338.813	451.6728516	255.9813538	454.644043	241.6225281	-1	-1	-1
4069339.644	451.1652832	255.6568298	457.4450684	246.2991638	-1	-1	-1
4069340.478	452.7073975	254.3152771	458.5097656	247.7254334	-1	-1	-1
4069341.313	451.7738037	257.2657166	457.2104492	245.0361633	-1	-1	-1
4069342.144	451.9536133	257.6647034	457.5123291	247.5125732	-1	-1	-1
4069342.978	451.6276856	257.6004334	457.7322998	248.3699036	-1	-1	-1
4069343.813	450.8170166	255.1782532	458.4210205	249.2775574	-1	-1	-1
4069344.644	451.4255371	254.0645752	458.5003662	249.5265503	-1	-1	-1
4069345.478	451.854126	255.8894959	457.7272949	248.5550232	-1	-1	-1
4069346.312	452.1560059	255.9690552	460.9052734	247.4855652	-1	-1	-1
4069347.144	451.7509766	255.8448181	460.1547852	249.9208374	-1	-1	-1
4069347.978	450.685791	253.8247681	461.7875977	249.2913818	-1	-1	-1
4069348.812	452.6646729	255.4162293	460.1385498	248.1705017	-1	-1	-1
4069349.644	449.6018066	255.9216919	459.6550293	250.7203369	-1	-1	-1
4069350.478	451.2330322	252.4796753	460.5887451	250.4085083	-1	-1	-1
4069351.312	450.9683838	255.4186707	461.538208	249.1181335	-1	-1	-1
4069352.144	451.442627	254.3381348	459.9732666	247.5314331	-1	-1	-1
4069352.978	450.5898438	254.6428223	461.5531006	250.7121582	-1	-1	-1
4069353.812	451.0842285	255.1036377	460.9543457	249.8819275	-1	-1	-1
4069354.644	452.0299072	254.0044556	460.1184082	249.0612183	-1	-1	-1
4069355.478	449.6525879	252.6508789	460.2580566	249.8484497	-1	-1	-1
4069356.312	449.7193604	253.0497437	462.7478027	249.3991394	-1	-1	-1
4069357.143	450.1257324	254.4386902	461.5913086	249.3457642	-1	-1	-1
4069357.978	449.9487305	254.5229187	461.9914551	249.0660095	-1	-1	-1
4069358.812	450.0522461	253.936676	459.7429199	249.4534912	-1	-1	-1
4069359.643	452.3087158	257.3782654	462.0445557	249.373291	-1	-1	-1
4069360.478	451.9521484	255.070221	460.7773438	247.4197998	-1	-1	-1
4069361.312	451.3452148	256.6902466	461.1101074	248.4240418	-1	-1	-1
4069362.146	450.5454102	253.3546753	461.9108887	250.7477112	-1	-1	-1
4069362.978	452.833374	257.6810303	462.4266357	250.5011292	-1	-1	-1
4069363.812	451.2990723	258.2731628	458.9561768	247.9276123	-1	-1	-1
4069364.646	449.4844971	256.6767578	461.5118408	251.2112732	-1	-1	-1
4069365.477	448.232666	257.0958557	461.7098389	248.0119019	-1	-1	-1
4069366.312	448.8563232	254.6248169	460.9526367	247.4278565	-1	-1	-1
4069367.146	449.7265625	257.6298218	461.5230713	247.2497864	-1	-1	-1
4069367.977	452.0321045	258.789856	460.9538574	248.4790344	-1	-1	-1
4069368.812	452.3649902	259.679596	463.5513916	249.1660767	-1	-1	-1
4069369.646	450.6516113	257.5786743	460.8620606	249.2485352	-1	-1	-1
4069370.477	452.0664063	261.0168152	462.2004395	246.7914734	-1	-1	-1
4069371.312	450.1010742	258.4573975	461.1273193	249.2328186	-1	-1	-1
4069372.146	450.1881104	258.5720215	459.7661133	247.3054504	-1	-1	-1
4069372.977	450.2531738	257.9422302	459.5551758	247.1943665	-1	-1	-1
4069373.812	452.4840088	263.1446533	459.3446045	249.3230896	-1	-1	-1
4069374.646	448.1955566	258.7211914	461.5126953	250.442627	-1	-1	-1
4069375.477	450.0727539	257.7796631	461.5358887	248.2211304	-1	-1	-1
4069376.311	449.1300049	256.1755066	460.4562988	245.8483887	-1	-1	-1
4069377.146	450.8736572	258.4520569	460.5913086	246.3495483	-1	-1	-1
4069377.977	449.0059815	256.9206238	459.960083	247.8879395	-1	-1	-1
4069378.811	450.3027344	259.0039978	463.5948486	249.3256531	-1	-1	-1
4069379.646	449.7762451	256.8381043	462.6333008	249.1450806	-1	-1	-1
4069380.477	449.0164795	256.3782959	461.1623535	249.4988403	-1	-1	-1
4069381.311	450.2011719	259.0551148	460.3988037	249.1780701	-1	-1	-1
4069382.146	451.1739502	256.3043823	459.7327881	248.961853	-1	-1	-1
4069382.977	451.9602051	258.1112061	460.4381104	249.2469177	-1	-1	-1
4069383.811	449.9761963	258.3289185	460.8879395	246.6520386	-1	-1	-1
4069384.645	449.6903076	260.3296204	462.692627	249.1938782	-1	-1	-1
4069385.477	451.3348389	254.8287048	461.6152344	248.7090759	-1	-1	-1
4069386.311	450.9005127	257.4659119	461.0284424	248.2459717	-1	-1	-1
4069387.145	449.8364258	254.801178	464.3179932	250.6181946	-1	-1	-1
4069387.977	451.9338379	257.7329102	462.6427002	252.4006043	-1	-1	-1
4069388.811	451.0490723	256.8848877	460.7237549	249.3482971	-1	-1	-1
4069389.645	450.302002	253.4564209	459.1333008	249.9465332	-1	-1	-1
4069390.48	450.8199463	255.6481323	461.5219727	250.3739624	-1	-1	-1
4069391.311	449.786377	256.0179138	461.9194336	251.500946	-1	-1	-1
4069392.145	450.6446533	254.4985657	461.0961914	252.0079041	-1	-1	-1
4069392.98	450.6264648	254.8931885	460.1737061	249.2500916	-1	-1	-1
4069393.811	451.7165527	254.6188965	460.3452148	252.1083984	-1	-1	-1
4069394.645	450.7293701	255.4620056	460.6260986	250.2113342	-1	-1	-1
4069395.479	449.7463379	255.1074829	461.8408203	252.8337097	-1	-1	-1
4069396.311	450.6934815	255.0390625	461.8955078	251.0161438	-1	-1	-1
4069397.145	451.369751	255.7712708	460.2536621	251.0410156	-1	-1	-1
